"Aktiv";"Name der Location";"URL"
"1";"Ratzeputz";"https://www.google.de/maps/place/Ratzeputz/@52.4839983,13.4362437,17z/data=!4m14!1m7!3m6!1s0x47a84fd26a049265:0x1ca21d289773917e!2zw4QtU3R1YmU!8m2!3d52.4848623!4d13.4369787!16s%2Fg%2F11h01x9pq6!3m5!1s0x47a84faff4140a81:0x6d83c360fb4d7f92!8m2!3d52.4853693!4d13.4371082!16s%2Fg%2F11bvv_4l0t!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"ŒLGARTEN - Beers & Bites";"https://www.google.de/maps/place/%C5%92LGARTEN+-+Beers+%26+Bites/@52.4973336,13.4469166,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84f01287555b5:0x36faa6ba0ad876fc!8m2!3d52.4973304!4d13.4494969!16s%2Fg%2F11t1dsggyv!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"MARMORBAR";"https://www.google.de/maps/place/MARMORBAR/@52.4972345,13.4467579,17z/data=!3m1!4b1!4m6!3m5!1s0x47a84fde0978ece1:0x460a02fb01fa7397!8m2!3d52.4972313!4d13.4493382!16s%2Fg%2F11y49l1dgy!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Ankerklause";"https://www.google.de/maps/place/Ankerklause/@52.4958394,13.4179789,16z/data=!3m1!4b1!4m6!3m5!1s0x47a84fcb03a70b1f:0x832b7b4c001ad8cd!8m2!3d52.4958362!4d13.4205592!16s%2Fg%2F1tfsl_zy!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Sux";"https://www.google.de/maps/place/Sux/@52.4837769,13.4282855,16z/data=!3m1!5s0x47a84fa5c1c80a77:0xa30a9599d4c66b53!4m14!1m7!3m6!1s0x47a84e335e237cd3:0x1b58b7096ae2e00c!2sPaloma+Bar!8m2!3d52.4993178!4d13.4189874!16s%2Fg%2F11b7lh14ty!3m5!1s0x47a84fa5c0f40847:0xf29dc13a07272604!8m2!3d52.4833253!4d13.4407113!16s%2Fg%2F1tdgtf2k!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Dschungel";"https://www.google.de/maps/place/Dschungel/@52.4852243,13.4355735,14z/data=!3m1!5s0x47a84fb6dde930a7:0x2711d05e5a74e9fe!4m6!3m5!1s0x47a84fb6dc6b921f:0x2c1c8f9125ef05a4!8m2!3d52.4892459!4d13.4280289!16s%2Fg%2F11bv2ljdpj!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"o.T. Projektraum";"https://www.google.de/maps/place/o.T.+Projektraum/@52.4879945,13.431561,16z/data=!3m1!5s0x47a84fb00fa7524f:0x6f406edb6f895798!4m6!3m5!1s0x47a84faffd48b261:0x9ff6432abd185013!8m2!3d52.4858285!4d13.4347112!16s%2Fg%2F1q6kk3_wq!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Orangerie Neukölln";"https://www.google.de/maps/place/Orangerie+Neuk%C3%B6lln/@52.4826631,13.4235573,14z/data=!3m1!5s0x47a84f9ece33257f:0xb46c9130e33d5ff9!4m6!3m5!1s0x47a84fc2edba804d:0xec0c97ba5a3b6619!8m2!3d52.4708187!4d13.4367838!16s%2Fg%2F11s1txmsdm?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
"1";"Schanki O Tannenbaum";"https://www.google.de/maps/place/Schanki_O_Tannenbaum/@52.4879945,13.431561,16z/data=!4m6!3m5!1s0x47a84f00661c0e67:0xb3698bcdbd92716a!8m2!3d52.4869944!4d13.4324525!16s%2Fg%2F11vx181t9q!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Kindl Stuben";"https://www.google.de/maps/place/Kindl+Stuben/@52.4824137,13.4386221,19.61z/data=!4m6!3m5!1s0x47a84fa500efadf3:0xf728a47b76cd19e0!8m2!3d52.4824503!4d13.437988!16s%2Fg%2F1tfqpzzz?entry=ttu&g_ep=EgoyMDI1MDYzMC4wIKXMDSoASAFQAw%3D%3D"
"1";"Bulbul Berlin";"https://www.google.de/maps/place/Bulbul+Berlin/@52.499413,13.4216791,17z/data=!3m2!4b1!5s0x47a84e35106f21a9:0x3d8a0798e91be076!4m6!3m5!1s0x47a84e52cf562041:0x4c32b59174b027e6!8m2!3d52.4994098!4d13.4242594!16s%2Fg%2F11cmz6jthj!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MDYyMy4yIKXMDSoASAFQAw%3D%3D"
